City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Saskylakh,RU,71.9167,114.0833,-0.18,93,68,7.27,broken clouds
133,Tautira,PF,-17.7333,-149.15,81.32,75,29,12.66,light rain
134,Neiafu,TO,-18.65,-173.9833,86.68,74,40,8.05,scattered clouds
135,Salalah,OM,17.0151,54.0924,79.83,69,0,1.61,clear sky
136,Lagoa,PT,39.05,-27.9833,60.67,83,100,15.03,overcast clouds
137,Tashla,RU,51.7716,52.7427,44.29,84,16,11.03,few clouds
138,Namibe,AO,-15.1961,12.1522,75.49,78,1,4.36,clear sky
139,Avarua,CK,-21.2078,-159.775,78.85,89,100,12.66,overcast clouds
140,Chokurdakh,RU,70.6333,147.9167,6.19,86,100,3.47,overcast clouds
141,Fairfield,US,41.2668,-73.3162,57.43,59,0,3.44,clear sky
142,Rassvet,RU,46.8333,40.75,39.07,100,100,3.58,overcast clouds
143,Meridian,US,43.6121,-116.3915,40.15,61,40,8.05,scattered clouds
144,Mahebourg,MU,-20.4081,57.7,77.25,81,62,19.37,light rain
145,Kruisfontein,ZA,-34.0033,24.7314,63.61,71,1,3.44,clear sky
146,Abu Zabad,SD,12.35,29.25,79.54,14,59,5.57,broken clouds
147,Bengkulu,ID,-3.8004,102.2655,83.61,68,25,1.86,scattered clouds
148,Qaanaaq,GL,77.484,-69.3632,-1.41,100,100,1.52,overcast clouds
149,Grants Pass,US,42.439,-123.3284,41.9,81,100,10.36,fog
150,Campbell River,CA,50.0163,-125.2446,39.25,87,100,10.36,overcast clouds
151,Oranjemund,NA,-28.55,16.4333,59.36,88,7,3.22,clear sky
152,Chardara,KZ,41.2547,67.9692,64.9,61,6,8.61,clear sky
153,Ustka,PL,54.5805,16.8619,39.42,73,83,9.57,broken clouds
154,Bilibino,RU,68.0546,166.4372,17.67,57,100,2.89,overcast clouds
155,Marawi,PH,7.9986,124.2928,76.46,78,65,4.09,broken clouds
156,East London,ZA,-33.0153,27.9116,68.29,87,90,2.62,light rain
157,Port Lincoln,AU,-34.7333,135.8667,69.26,60,74,14.83,broken clouds
158,Iqaluit,CA,63.7506,-68.5145,11.93,85,100,20.71,light snow
159,Vao,NC,-22.6667,167.4833,75.6,72,6,8.16,clear sky
160,Iaciara,BR,-14.0958,-46.6317,74.16,78,64,2.13,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,71.51,68,69,12.91,broken clouds
162,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,99,14.99,light rain
163,Provideniya,RU,64.3833,-173.3,24.91,80,100,18.01,overcast clouds
164,Chumikan,RU,54.7183,135.315,27.93,78,100,8.25,overcast clouds
165,Brewster,US,41.3973,-73.6171,57.54,70,0,3.44,clear sky
166,Bud,US,39.447,-86.1758,66.34,89,89,14.47,overcast clouds
167,Esperance,AU,-33.8667,121.9,69.64,74,33,15.3,scattered clouds
168,Hobart,AU,-42.8794,147.3294,70.27,49,20,14.97,few clouds
169,Carahue,CL,-38.7,-73.1667,43.72,96,1,1.77,clear sky
170,Sylacauga,US,33.1732,-86.2516,73.53,71,100,3.44,overcast clouds
171,Saint-Louis,SN,16.3333,-15.0,74.89,41,87,14.83,overcast clouds
172,Awassa,ET,7.05,38.4667,64.17,75,99,2.26,light rain
173,Lerwick,GB,60.1545,-1.1494,44.6,93,100,16.69,overcast clouds
174,Cayenne,GF,4.9333,-52.3333,80.1,1,75,7.0,broken clouds
175,Uruguaiana,BR,-29.7547,-57.0883,62.06,75,38,10.33,scattered clouds
176,Dire,ML,12.2833,-10.9667,86.04,41,100,1.7,overcast clouds
177,Rundu,NA,-17.9333,19.7667,65.89,75,100,1.25,overcast clouds
