City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Loiza,PR,77.05,few clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
372,Kathu,TH,88.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
376,Ilhabela,BR,75.02,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
380,Penukonda,IN,80.42,overcast clouds,14.0833,77.5833,Nikhara Fort
384,Auki,SB,86.25,few clouds,-8.7676,160.7034,Auki Motel
386,General Cepeda,MX,75.07,clear sky,25.3833,-101.45,Hacienda Los Jose
390,Bandarbeyla,SO,78.67,clear sky,9.4942,50.8122,JABIR HOTEL
391,La Gomera,GT,82.36,broken clouds,14.0833,-91.05,Cede.E.T.V
396,Gondanglegi,ID,86.05,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
398,Kingaroy,AU,76.06,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
404,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
409,Bachaquero,VE,82.45,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
411,Turan,VN,85.98,few clouds,16.0678,108.2208,Grand Mercure Danang
413,Pandan,PH,83.32,broken clouds,14.0453,124.1694,Bonifacio Lodge
414,Paratinga,BR,75.33,scattered clouds,-12.6906,-43.1842,Pousada Magalhães 2
418,Shenzhen,CN,82.08,few clouds,22.5455,114.0683,Grand Skylight
419,Sola,VU,82.33,broken clouds,-13.8833,167.55,Leumerus Bungalows
424,Hasaki,JP,82.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
426,Jeremie,HT,77.02,clear sky,18.65,-74.1167,Auberge’Inn
428,Trincomalee,LK,81.36,overcast clouds,8.5711,81.2335,Welcombe Hotel
430,Hong Gai,VN,82.31,clear sky,20.956,107.0946,Hạ Long DC Hotel
434,Catuday,PH,81.57,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
448,Qui Nhon,VN,83.35,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
452,Tabuk,PH,84.33,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
457,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
462,Gizo,SB,85.17,scattered clouds,-8.103,156.8419,Imagination Island
463,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
464,Jiaocheng,CN,84.83,few clouds,24.6774,116.1389,Changtan Tourism Resort
